"channel","reference","start","end","identity"
"3","KF113528|Kelle_1|DRC|2003","13670","13969","0.8594771241830066"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1251","1762","0.8938547486033519"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","6998","0.8817427385892116"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","859","1341","0.8762475049900199"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15288","15768","0.874"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4074","4563","0.9117647058823529"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8894","9368","0.9294605809128631"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4073","4587","0.933206106870229"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4874","5357","0.8841463414634146"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5352","0.8983739837398373"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4501","4970","0.9049586776859504"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8521","8980","0.9313304721030042"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9769","10186","0.9041095890410958"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","7","522","0.935969868173258"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","869","1349","0.9163265306122449"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8901","9366","0.88125"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9268","9769","0.9019230769230769"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10490","10958","0.9263157894736842"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","477","914","0.9415730337078652"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11656","12130","0.9173553719008265"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4503","4967","0.9117647058823529"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7785","0.9234042553191489"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4878","5345","0.7995824634655533"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16095","16574","0.8455445544554455"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1691","2166","0.9461697722567288"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","865","1349","0.936734693877551"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13671","14155","0.8940936863543788"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8526","8993","0.909853249475891"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1251","1745","0.9377510040160643"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13283","13751","0.9431578947368421"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2522","2997","0.898"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10519","10961","0.8920704845814978"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10114","10568","0.9094827586206896"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2571","0.9206963249516441"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10506","10967","0.934322033898305"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12131","0.9149797570850202"
"3","KC242792|Gabon|Gabon|1994","884","1349","0.8694736842105263"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8521","8981","0.9548387096774194"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13290","13751","0.9161425576519916"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","7328","7463","0.8333333333333334"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","9268","9772","0.9087378640776699"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","878","1349","0.9136842105263158"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","9268","9777","0.9205426356589147"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","5290","5779","0.9278557114228457"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","16500","16971","0.9369747899159664"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","16492","16960","0.921443736730361"
"2","KC242792|Gabon|Gabon|1994","8891","9363","0.8916666666666667"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","447","927","0.893491124260355"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","9268","9770","0.8949416342412452"
"2","KC242798|1Ikot|Gabon|1996","446","929","0.893574297188755"
"2","KR063672|Kikwit-807223|DRC|1995-04-01","1251","1750","0.9376218323586745"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9287","9787","0.9140625"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10106","10556","0.891832229580574"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1328","0.9024390243902439"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16502","16971","0.9313929313929314"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","11651","12130","0.8243512974051896"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9774","0.9366602687140115"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7759","0.8851351351351351"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5350","0.9257731958762887"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5718","6178","0.9221052631578948"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4562","0.8957915831663327"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4505","4968","0.8586065573770492"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11654","12145","0.8599605522682445"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12839","13341","0.9722222222222222"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4881","5354","0.8739669421487604"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16892","17366","0.9325153374233128"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.9066937119675457"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","431","919","0.9313131313131313"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14973","0.896551724137931"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10507","10963","0.9229122055674518"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9728","0.9075268817204301"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12469","12932","0.8842105263157894"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16497","16971","0.9254658385093167"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12128","0.9089068825910931"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16933","0.9059080962800875"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","919","0.9572301425661914"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4084","4588","0.9259259259259259"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7722","7980","0.9616858237547893"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8902","9368","0.9665271966527197"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10499","10967","0.9180672268907563"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1732","2148","0.8568129330254042"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4080","4587","0.8998073217726397"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5280","5779","0.9035433070866141"
