"channel","reference","start","end","identity"
"1","KC242798|1Ikot|Gabon|1996","548","908","0.832"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9771","0.931640625"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4503","4969","0.9259259259259259"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1349","0.888235294117647"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.9232283464566929"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1335","0.9078156312625251"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8910","9368","0.9391304347826087"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13668","13887","0.9107142857142857"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16543","16949","0.9028436018957346"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15288","15768","0.9473684210526315"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16512","16813","0.9438943894389439"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8891","9325","0.8665207877461707"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10504","10966","0.8087318087318087"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5366","0.93812375249501"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11649","12145","0.9178082191780822"
"3","KC242793|1Eko|Gabon|1996","2316","2565","0.8125"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16095","16567","0.8985801217038539"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11250","11717","0.940677966101695"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1687","2161","0.893223819301848"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11715","12133","0.8867924528301887"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15290","15767","0.9238683127572016"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15288","15767","0.847870182555781"
