"channel","reference","start","end","identity"
"1","KC242793|1Eko|Gabon|1996","8515","8908","0.8962962962962963"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5366","0.9363817097415507"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15854","16168","0.9404388714733543"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4572","0.9025341130604289"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.8950495049504951"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.9127906976744186"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8515","8978","0.8968421052631579"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.9067460317460317"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.914"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9094567404426559"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16927","17375","0.9510022271714922"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4084","4588","0.9317738791423001"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","887","1345","0.9123931623931624"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7324","7783","0.9137931034482759"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5365","0.9214145383104125"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8520","8986","0.8979166666666667"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10627","10967","0.9187675070028011"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13680","14155","0.9192546583850931"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4588","0.8886827458256029"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13688","14149","0.9336188436830836"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9571428571428572"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4576","0.9313725490196079"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9366","0.9297520661157025"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.9195402298850575"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1252","1677","0.8997668997668997"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12601","13324","0.9227642276422764"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1349","0.7290836653386454"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9775","0.928709055876686"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1338","0.927710843373494"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10509","10967","0.9027484143763214"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10489","10961","0.9318181818181818"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15705","16168","0.8718487394957983"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4888","5239","0.871866295264624"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","919","0.8895463510848126"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4880","5760","0.8886389201349831"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11654","12145","0.8913043478260869"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2511","2997","0.9352226720647774"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6122","6592","0.9298969072164949"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4588","0.9129593810444874"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12856","13341","0.8388998035363457"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9651639344262295"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13341","0.9131274131274131"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5297","5779","0.8877755511022044"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16140","16568","0.9630484988452656"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5355","0.801980198019802"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","13302","13607","0.9150943396226415"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4086","4576","0.9053254437869822"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","862","1345","0.9306122448979591"
