"reference","start","end","identity"
"ref4","9190","9221","97"
"ref3","276","450","83"
"ref1","4525","4592","90"
"ref2","934","947","82"
"ref1","2835","2966","95"
"ref3","5378","5542","90"
"ref4","9214","9224","84"
"ref5","4401","4696","97"
"ref4","3296","3432","92"
"ref2","7744","8743","84"
"ref1","5102","5227","84"
"ref1","7417","7651","96"
"ref5","7495","7556","99"
"ref5","7867","7884","85"
"ref5","7163","7176","95"
"ref4","6671","6747","89"
"ref2","478","679","87"
"ref4","5432","5622","92"
"ref4","1647","1820","100"
"ref3","9678","9776","86"
"ref3","9043","9110","95"
"ref2","8553","9014","83"
"ref5","9291","9428","97"
"ref4","8454","8479","91"
"ref2","1251","1269","91"
"ref5","4134","4612","95"
"ref3","3245","3266","81"
"ref2","6257","6328","100"
"ref2","5926","5988","82"
"ref2","9737","9866","88"
"ref1","6776","6917","89"
"ref2","8069","8173","83"
"ref1","3087","3174","99"
"ref3","9437","9510","89"
"ref4","3993","4075","97"
"ref2","1344","1405","88"
"ref4","3784","3809","98"
"ref4","1439","1466","82"
"ref4","1112","1271","93"
"ref5","2383","2443","87"
"ref3","4923","4971","83"
"ref4","7728","8078","90"
"ref1","9241","9307","80"
"ref2","5584","5831","89"
"ref5","3242","3319","98"
"ref3","6775","6800","99"
"ref1","5391","5758","87"
"ref3","4460","4527","94"
"ref2","7141","7359","89"
"ref3","6103","7102","82"
"ref3","8047","8137","89"
"ref4","9399","9471","99"
"ref5","1010","1062","95"
"ref5","6216","6227","99"
"ref2","574","648","84"
"ref5","7139","7180","80"
"ref1","8459","9018","83"
"ref1","1812","2027","91"
"ref2","2847","3062","87"
"ref5","9326","9343","81"
"ref2","2643","2883","83"
"ref5","7032","7191","85"
"ref5","4105","4186","89"
"ref3","1690","1740","93"
"ref5","6819","6895","97"
"ref5","7603","7630","86"
"ref2","7912","8416","80"
"ref3","4804","4898","86"
"ref3","3270","3405","82"
"ref3","2927","3087","88"
"ref1","1972","2395","85"
"ref4","4682","4760","92"
"ref3","8098","8107","83"
"ref3","3759","3793","81"
"ref3","1775","1907","87"
"ref5","5296","5366","99"
"ref5","9267","9305","95"
"ref5","5164","5801","91"
"ref2","8463","8745","83"
"ref5","8789","8820","87"
"ref1","6614","6678","81"
"ref3","5897","6021","81"
"ref3","342","671","100"
"ref4","89","148","97"
"ref4","4016","4120","97"
"ref1","3257","4073","97"
"ref4","8234","8500","96"
"ref2","6076","6258","89"
"ref5","6055","6556","81"
"ref4","8097","8373","92"
"ref1","1096","1150","100"
"ref4","1454","1600","89"
"ref1","1391","1416","100"
"ref5","918","1040","89"
"ref5","6193","6404","87"
"ref5","7771","7774","89"
"ref5","4725","4891","97"
"ref2","9720","9854","93"
"ref3","8003","8076","93"
"ref4","3562","3631","91"
"ref1","4781","4873","80"
"ref5","7546","7635","93"
"ref3","3839","3888","91"
"ref1","1918","2002","86"
"ref3","2981","3003","80"
"ref5","8769","8883","88"
"ref3","5410","5781","83"
"ref5","3666","3679","80"
"ref5","8564","8976","86"
"ref4","1998","2061","90"
"ref4","4487","4573","95"
"ref5","5698","5760","97"
"ref2","638","786","83"
"ref2","7662","7775","100"
"ref2","4787","4913","90"
"ref3","323","347","92"
"ref3","3903","4119","98"
"ref2","8195","8256","82"
"ref2","251","334","83"
"ref2","483","563","84"
"ref4","2753","2837","86"
"ref1","3295","3364","85"
"ref2","931","983","92"
"ref2","524","599","90"
"ref1","6538","6628","85"
"ref5","1802","2094","97"
"ref2","682","724","80"
"ref1","3883","3894","83"
"ref4","6900","7096","90"
"ref5","8481","8705","94"
"ref3","8292","8433","90"
"ref5","3318","3359","100"
"ref2","150","288","95"
"ref4","4426","4485","97"
"ref3","6234","6282","95"
"ref5","2723","2763","98"
"ref5","6750","7640","96"
"ref5","7220","7257","86"
"ref2","5109","5231","84"
"ref1","1599","1654","100"
"ref3","198","1027","97"
"ref4","538","589","84"
"ref4","5884","6041","93"
"ref4","685","989","88"
"ref3","7128","7219","96"
"ref2","4830","4915","86"
"ref5","8187","8278","82"
"ref2","4532","4679","91"
"ref4","3497","3708","86"
"ref3","4599","4666","97"
"ref1","1989","2211","87"
"ref1","8867","9398","98"
"ref1","6935","7076","85"
"ref1","163","218","80"
"ref5","485","622","81"
"ref5","4633","4809","95"
"ref4","8804","8868","86"
"ref2","613","1050","87"
"ref2","379","439","98"
"ref4","8117","8150","95"
"ref5","3411","3450","80"
"ref1","9511","9563","98"
"ref5","2087","2760","99"
"ref4","7663","7773","89"
"ref5","4560","4664","100"
"ref1","5521","5677","93"
"ref2","9204","9355","88"
"ref2","804","1014","96"
"ref3","8777","8832","86"
"ref4","2172","2203","88"
"ref1","9213","9529","82"
"ref5","2243","2312","89"
"ref5","594","777","85"
"ref4","5111","5200","91"
"ref2","2331","2358","100"
"ref1","2397","2742","97"
"ref2","3332","3425","91"
"ref1","1033","1061","92"
"ref2","7525","7608","92"
"ref3","6689","6855","99"
"ref1","4576","4656","82"
"ref2","8009","8344","80"
"ref2","9566","9607","94"
"ref3","7663","7711","83"
"ref3","191","245","84"
"ref2","8004","8017","92"
"ref2","7730","7814","99"
"ref3","7120","7156","93"
"ref2","4025","4073","82"
"ref1","4854","4932","93"
"ref5","8645","9441","90"
"ref3","3910","3925","84"
"ref1","1051","1670","83"
"ref4","2914","2924","98"
"ref5","9323","9426","91"
"ref3","7462","7491","91"
"ref3","8191","8457","87"
"ref3","2294","2387","81"
"ref1","9352","9732","90"
"ref4","6190","6277","87"
"ref3","724","836","91"
"ref3","7047","7074","87"
"ref1","4961","4975","92"
"ref2","1733","2732","94"
"ref1","4035","4096","84"
"ref5","4671","4703","93"
"ref2","2867","2882","92"
"ref5","7964","7989","96"
"ref4","2341","2551","86"
"ref4","6023","6142","96"
"ref1","7976","8138","87"
"ref1","9811","9859","84"
"ref2","5517","5663","83"
"ref5","8344","8517","81"
"ref2","896","1084","87"
"ref5","883","1106","80"
"ref1","4027","4240","83"
"ref4","3764","3901","84"
"ref4","6331","6365","97"
"ref5","5522","5793","91"
"ref1","8797","9138","97"
"ref4","680","698","87"
"ref5","9524","9752","94"
"ref3","5293","5359","100"
"ref5","9556","9604","91"
"ref5","7905","8468","88"
"ref1","3712","4352","97"
"ref2","5710","5757","90"
"ref4","6154","6245","87"
"ref2","6436","6629","89"
"ref3","6421","6477","90"
"ref2","707","863","90"
"ref4","6557","6599","86"
"ref3","4670","4881","86"
"ref4","7993","8158","97"
"ref4","2374","2750","99"
"ref1","1035","1087","99"
"ref4","6460","6557","90"
"ref2","4805","4841","84"
"ref1","2710","2739","99"
"ref1","2960","3011","91"
"ref1","8276","8288","91"
"ref5","7384","7434","100"
"ref5","4995","5409","84"
"ref3","861","934","85"
"ref2","319","506","97"
"ref4","3805","4500","100"
"ref5","754","831","80"
"ref3","8830","8873","95"
"ref1","8158","8179","90"
"ref4","3276","3295","88"
"ref3","1019","1094","88"
"ref4","7991","8043","81"
"ref2","5429","5442","82"
"ref3","5676","5854","86"
"ref5","3781","4024","88"
"ref4","2056","2142","80"
"ref5","8632","8682","88"
"ref4","6780","6839","90"
"ref1","701","780","82"
"ref1","9401","9460","97"
"ref3","5036","5056","86"
"ref5","5238","5455","83"
"ref5","1907","1924","88"
"ref5","5705","5948","88"
"ref1","602","767","95"
"ref3","1052","1324","87"
"ref1","2396","2509","81"
"ref4","8882","8895","94"
"ref1","8943","8962","84"
"ref1","5549","5659","94"
"ref1","493","673","80"
"ref3","9069","9128","99"
"ref3","2113","2138","80"
"ref3","769","994","99"
"ref5","2959","3023","89"
"ref2","4872","4975","98"
"ref4","543","592","99"
"ref3","5520","5539","91"
"ref1","1314","1391","84"
"ref1","3149","3657","98"
"ref5","4958","5081","99"
"ref2","7151","7200","97"
"ref2","9921","9961","98"
"ref5","8816","8835","96"
"ref1","1534","1699","91"
"ref4","5862","5909","90"
"ref1","2277","2350","90"
"ref5","5662","5711","94"
"ref5","7486","8382","91"
"ref1","5877","5946","94"
"ref5","8989","9025","100"
"ref2","6357","6506","99"
"ref2","4388","4462","83"
"ref5","5136","5247","81"
"ref4","1508","1761","86"
"ref5","6625","6779","94"
"ref4","409","904","80"
"ref5","2016","2061","89"
"ref5","5102","5180","100"
"ref2","617","685","89"
"ref2","5674","5706","85"
"ref4","2288","2365","95"
"ref2","8653","8977","95"
"ref2","5211","5252","92"
"ref3","6645","7019","98"
"ref4","8092","8118","92"
"ref1","8566","8632","88"
"ref1","3203","3323","89"
"ref5","8840","8857","90"
"ref4","5000","5096","91"
"ref4","9155","9395","84"
"ref2","2145","2164","81"
"ref2","2850","2889","94"
"ref1","6432","6440","95"
"ref5","3163","3303","88"
"ref2","484","544","90"
"ref3","7703","7955","88"
"ref1","4982","5309","99"
"ref3","2637","2873","97"
"ref1","8949","8987","100"
"ref2","1921","1938","97"
"ref4","2519","2600","97"
"ref3","5919","5990","96"
"ref4","7906","8071","85"
"ref3","2628","2809","90"
"ref4","8775","8928","98"
"ref3","6712","7087","87"
"ref4","5996","6125","97"
"ref4","2983","3263","88"
"ref1","3903","3927","93"
"ref1","2635","2766","81"
"ref4","7332","7654","96"
"ref4","8642","9195","92"
"ref1","2834","2887","97"
"ref3","4445","4498","88"
"ref3","7619","7783","97"
"ref1","5506","5648","95"
"ref3","2224","2346","80"
"ref5","2814","2985","87"
"ref5","3648","3677","100"
"ref2","9055","9180","92"
"ref3","3324","3327","95"
"ref3","2543","2565","100"
"ref4","5346","5462","80"
"ref2","5423","5489","90"
"ref5","8174","8210","89"
"ref4","5297","5362","86"
"ref5","2921","3030","86"
"ref3","5686","5767","94"
"ref5","8413","8598","98"
"ref5","5564","5983","100"
"ref1","8465","9067","93"
"ref4","1823","1832","85"
"ref2","6770","6803","97"
"ref5","5239","5410","84"
"ref1","9508","9608","84"
"ref2","887","1268","86"
"ref4","1725","1747","89"
"ref1","2989","3272","85"
"ref3","7520","7587","96"
"ref3","1124","1224","98"
"ref1","9396","9771","85"
"ref2","6298","6351","100"
"ref5","1835","1869","99"
"ref1","855","933","93"
"ref3","1188","1276","83"
"ref1","7573","8004","95"
"ref1","8453","8977","88"
"ref1","7851","7870","83"
"ref1","8987","9161","93"
"ref1","5665","6010","81"
"ref3","8536","8687","100"
"ref3","6297","6606","82"
"ref1","2447","2476","87"
"ref1","9666","9796","91"
"ref3","5286","5374","97"
"ref5","6934","6948","90"
"ref5","9602","9876","92"
"ref3","9508","9607","90"
"ref5","778","786","85"
"ref4","101","138","81"
"ref3","9418","9821","96"
"ref5","4727","4784","86"
"ref5","7808","7822","82"
"ref1","5790","5877","93"
"ref1","4311","4481","94"
"ref3","5247","5415","85"
"ref4","6860","6996","85"
"ref1","5029","5124","80"
