"channel","reference","start","end","identity"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","859","1341","0.8048289738430584"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","6993","0.8639175257731959"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3289","3771","0.9323770491803278"
"3","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1697","2158","0.9221052631578948"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16490","16971","0.934560327198364"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10489","10957","0.9536842105263158"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16108","16578","0.9308176100628931"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5346","0.826530612244898"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1349","0.9125248508946322"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3292","3773","0.9265873015873016"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10503","10967","0.8791666666666667"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16500","16967","0.9345991561181435"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9268","9785","0.8785046728971962"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12852","13338","0.8772635814889336"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","434","929","0.91015625"
"3","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1701","2166","0.9454926624737946"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8901","9368","0.9327731092436975"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6539","6993","0.9090909090909091"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8526","8993","0.9350104821802935"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5290","5776","0.9298597194388778"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","869","1349","0.8823529411764706"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","871","1292","0.7885057471264367"
