"channel","reference","start","end","identity"
"10","ref3","1766","1825","98"
"5","ref1","3015","3139","90"
"11","ref1","2303","2379","95"
"7","ref1","6616","7214","90"
"5","ref2","2316","3226","90"
"6","ref2","2852","3851","91"
"6","ref3","1508","1600","87"
"5","ref5","7910","8027","93"
"9","ref1","6430","6555","98"
"11","ref2","3119","3376","92"
"10","ref4","9088","9219","87"
"12","ref4","6196","6664","96"
"1","ref2","2175","2569","85"
"10","ref5","7468","7933","81"
"12","ref2","3957","4367","89"
"3","ref4","7030","7163","96"
"11","ref3","1723","1754","93"
"2","ref3","1994","2033","94"
"12","ref3","1698","1748","90"
"1","ref1","7683","7693","89"
"3","ref4","9005","9217","85"
"10","ref2","2660","2753","98"
"7","ref1","2215","2231","94"
"5","ref3","1864","1932","91"
"9","ref4","9738","9747","100"
"4","ref1","4366","4389","93"
"1","ref2","3021","3774","85"
"12","ref5","4903","5233","89"
"11","ref3","1572","1785","84"
"9","ref1","268","367","95"
"12","ref3","1527","1542","89"
"3","ref1","7529","7578","100"
"9","ref2","3348","3414","92"
"10","ref4","9223","9323","85"
"11","ref3","1597","1636","90"
"5","ref2","2397","3141","88"
"10","ref4","9381","9516","83"
"8","ref2","3261","3493","88"
"10","ref3","1869","1917","82"
"3","ref1","540","595","90"
"11","ref4","9598","9931","98"
"8","ref2","2406","2833","98"
"11","ref4","9166","9621","80"
"7","ref1","2515","2590","98"
"2","ref5","4096","5095","84"
"10","ref1","6100","6155","91"
"7","ref1","2475","2508","96"
"4","ref4","7306","7398","86"
"1","ref2","3653","3777","92"
"4","ref1","457","540","87"
"7","ref4","9517","9653","90"
"12","ref4","9288","9356","97"
"7","ref4","7659","8658","96"
"12","ref4","7043","7110","90"
"10","ref4","7361","7972","81"
"11","ref2","2060","2435","89"
"5","ref2","2055","2310","88"
"3","ref1","3277","3351","87"
"3","ref1","4225","4264","82"
"10","ref2","3182","3408","93"
"8","ref2","3348","3703","81"
"2","ref1","5487","5506","87"
"7","ref1","5408","5533","95"
"6","ref1","5130","5191","80"
"10","ref5","4636","4820","90"
"7","ref1","7822","7862","88"
"12","ref4","6375","6436","80"
"8","ref4","9986","10144","97"
"3","ref2","2693","2794","80"
"2","ref1","3177","3357","99"
"12","ref3","1894","1915","83"
"3","ref3","1581","1628","100"
"12","ref1","6803","6933","80"
"1","ref1","4172","4250","94"
"1","ref1","5511","5569","92"
"8","ref2","3855","4854","89"
"4","ref4","7023","7213","87"
"4","ref4","9263","9351","82"
"1","ref2","2642","2714","97"
"9","ref4","6031","6133","88"
"11","ref1","7941","7982","89"
"1","ref4","8546","8619","86"
"10","ref2","3310","3693","94"
"2","ref3","1835","1920","91"
"6","ref1","7155","7290","97"
"8","ref3","1756","1925","93"
"8","ref1","2639","2662","93"
"6","ref3","1853","1887","100"
"10","ref2","3817","4124","84"
"4","ref3","1669","1746","92"
"9","ref1","1086","1131","83"
"3","ref3","1511","1581","99"
"3","ref4","6069","6430","90"
"5","ref1","4875","5060","88"
"9","ref2","2048","3047","88"
"10","ref4","6431","6557","93"
"5","ref5","6316","6948","89"
"4","ref2","3765","3867","86"
"3","ref2","2898","2994","89"
"11","ref4","6447","6476","91"
"6","ref1","41","133","81"
"12","ref4","8712","8937","97"
"3","ref1","1871","1917","95"
"4","ref1","531","599","98"
"5","ref1","7551","7564","86"
"10","ref1","309","588","100"
"4","ref3","1820","1871","97"
"3","ref4","9660","9778","82"
"9","ref1","1536","1609","81"
"7","ref1","6499","6604","95"
"4","ref2","3764","4476","84"
"5","ref1","4448","4501","95"
"8","ref3","1559","1662","97"
"10","ref1","5281","5351","85"
"11","ref5","4990","5313","84"
"11","ref1","1015","1157","81"
"12","ref2","3842","4068","92"
"8","ref1","329","416","96"
"12","ref3","1842","1854","83"
"7","ref4","9648","9886","97"
"12","ref1","559","596","87"
"10","ref4","6296","6944","98"
"8","ref4","7634","8007","83"
"8","ref4","9809","9914","80"
"9","ref1","7775","8029","90"
"2","ref3","1567","1720","89"
"12","ref1","1919","2136","87"
"9","ref2","3853","4063","95"
"6","ref1","4826","4905","80"
"2","ref3","1885","1921","100"
"9","ref2","2875","2896","100"
"5","ref5","4331","5330","80"
"2","ref1","5799","5922","88"
"4","ref3","1936","1969","92"
"10","ref4","6451","6523","86"
"9","ref5","5989","6065","95"
"8","ref2","2049","2113","98"
"8","ref4","8129","8386","97"
"1","ref3","1977","2245","96"
"9","ref3","1867","1912","86"
"6","ref4","9836","10411","97"
"4","ref1","2897","3342","85"
"10","ref3","1557","1567","81"
"1","ref1","2903","2925","100"
"6","ref2","2076","2310","95"
"4","ref2","3101","3535","98"
"3","ref1","3110","3130","94"
"2","ref4","9443","9509","98"
"2","ref1","6727","7145","84"
"12","ref1","3012","3181","90"
"4","ref3","1799","1821","100"
"4","ref3","1945","2150","89"
"4","ref5","7399","8387","94"
"2","ref4","9144","9375","93"
"10","ref4","6703","6742","89"
"9","ref2","3530","3976","93"
"9","ref1","963","1002","97"
"5","ref4","6462","7461","98"
"3","ref1","921","940","86"
"2","ref3","1555","1609","96"
"5","ref2","3094","3146","89"
"1","ref2","3896","4895","88"
"10","ref5","7021","7072","82"
"1","ref3","1622","1915","99"
"10","ref4","9285","9331","91"
"9","ref2","3129","4032","97"
"5","ref4","7478","7837","80"
"7","ref4","8230","8451","96"
"3","ref3","1667","1742","86"
"2","ref2","3231","3308","81"
"5","ref1","3167","3281","83"
"12","ref1","7084","7337","88"
"3","ref5","7872","8198","89"
"5","ref1","4401","4649","98"
"1","ref4","7220","7577","97"
"12","ref2","2708","2725","98"
"4","ref5","6985","7739","99"
"7","ref1","5820","5872","94"
"2","ref2","3912","4149","98"
"10","ref4","6290","6627","88"
"10","ref5","5489","5934","87"
"2","ref1","1824","2046","82"
"1","ref1","813","861","90"
"2","ref4","8135","8199","88"
"5","ref4","9005","9160","94"
"6","ref4","7231","7328","95"
"8","ref4","7959","8652","85"
"2","ref3","1878","1887","82"
"7","ref4","6467","6526","100"
"2","ref3","1524","1607","100"
"12","ref2","2502","3077","89"
"5","ref1","1947","1965","93"
"10","ref4","6240","6631","80"
"7","ref2","2364","3223","80"
"3","ref4","8605","8900","87"
"3","ref3","1833","1892","88"
"9","ref4","6560","6738","99"
"1","ref5","7583","8582","89"
"4","ref2","3981","4490","94"
"2","ref1","948","1826","85"
"10","ref5","5351","6350","100"
"6","ref4","9903","10088","98"
"3","ref1","776","1109","81"
"7","ref2","2976","3064","87"
"4","ref3","1896","2120","98"
"5","ref2","2116","2669","85"
"2","ref5","7401","8173","100"
"10","ref3","1868","1936","85"
"5","ref1","2277","2399","100"
"7","ref1","5563","6136","96"
"9","ref4","9712","9891","87"
"9","ref4","8188","9187","94"
"12","ref4","7988","8163","96"
"4","ref2","3945","4213","98"
"1","ref1","477","577","87"
"2","ref4","8561","8625","81"
"9","ref1","3463","3714","97"
"4","ref1","3420","3479","98"
"10","ref1","172","220","83"
"3","ref1","3257","3305","83"
"7","ref1","5154","5210","94"
"8","ref1","5251","5546","91"
"8","ref2","2455","3454","82"
"6","ref2","3542","4300","86"
"10","ref2","2532","3291","90"
"8","ref2","2897","3210","97"
"12","ref1","6557","6649","91"
"8","ref4","7798","7883","88"
"12","ref1","3759","3786","83"
"3","ref1","353","389","86"
"12","ref4","9541","9915","93"
"7","ref1","1866","2051","96"
"10","ref5","4190","4451","99"
"12","ref1","1112","1130","83"
"8","ref2","3180","3342","92"
"6","ref2","3819","4239","84"
"8","ref5","7263","7489","81"
"11","ref1","5547","5737","82"
"7","ref5","6175","6820","85"
"4","ref4","9721","9963","84"
"5","ref1","7112","7418","82"
"9","ref5","6659","6878","88"
"8","ref4","9174","9385","81"
"9","ref4","6214","6463","84"
"8","ref4","9722","10275","81"
"5","ref2","3745","4606","98"
"1","ref1","7455","7639","84"
"3","ref1","5480","5777","99"
"6","ref1","1128","1509","93"
"7","ref2","3304","3544","92"
"11","ref2","3789","4788","89"
"7","ref5","7923","8298","81"
"9","ref2","3019","3094","91"
"12","ref4","7980","8014","99"
"7","ref3","1809","2246","91"
"9","ref1","6539","7070","91"
"8","ref2","3225","3572","85"
"12","ref1","4483","4610","94"
"4","ref2","2248","3247","82"
"8","ref1","6594","6868","96"
"3","ref3","1677","2000","93"
"9","ref2","2362","2509","94"
"10","ref1","2005","2227","86"
"10","ref1","7412","7512","98"
"2","ref3","1761","1774","85"
"3","ref1","6344","7153","88"
"7","ref2","2531","2656","90"
"7","ref3","1909","1957","97"
"5","ref1","5153","5172","83"
"11","ref4","6728","6793","83"
"6","ref1","6582","6652","83"
"1","ref1","4928","4985","87"
"12","ref5","7985","8239","91"
"12","ref4","8790","8896","86"
"11","ref4","6332","6504","87"
"2","ref3","1524","1658","83"
"1","ref1","4369","4403","99"
"9","ref1","5561","5703","83"
