"channel","reference","start","end","identity"
"1","KM519951|Boende-Lokolia|DRC|2014","873","1349","0.9316770186335404"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5717","6192","0.9077868852459017"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3289","3772","0.9352226720647774"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16500","16971","0.9032258064516129"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10504","10967","0.9168399168399168"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13311","13751","0.917960088691796"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","929","0.8798449612403101"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13324","0.9154929577464789"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9357","0.9221052631578948"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.9176706827309237"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1341","0.9101796407185628"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","12477","12939","0.8936170212765957"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1690","2151","0.9399141630901288"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7784","0.8737060041407867"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4882","5372","0.9156626506024096"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5352","0.9506172839506173"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14545","0.9055441478439425"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2508","2986","0.8955823293172691"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16514","16969","0.9267241379310345"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4536","4969","0.8411633109619687"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16502","16971","0.9645833333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9279","9777","0.9115913555992141"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","879","1347","0.8847736625514403"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4566","0.9065606361829026"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","435","914","0.8902439024390244"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14973","0.8927835051546392"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","786","929","0.8918918918918919"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16138","16568","0.9452054794520548"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6523","6997","0.9323770491803278"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2507","2985","0.906"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.9138276553106213"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8891","9368","0.9241803278688525"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11650","12145","0.9398058252427185"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2508","2986","0.9442148760330579"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14555","0.9282786885245902"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12138","0.8170974155069582"
