"channel","reference","start","end","identity"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","15276","15759","0.9408163265306122"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","435","925","0.9114688128772636"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9405737704918032"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4564","0.904"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11654","12145","0.927710843373494"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6133","6590","0.8943965517241379"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","869","1345","0.8975409836065574"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1698","2158","0.9177215189873418"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13671","14144","0.9518828451882845"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5290","5779","0.9168356997971603"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.9187620889748549"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1687","2147","0.9279661016949152"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10504","10967","0.9178947368421052"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12131","0.8828282828282829"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7784","0.9323467230443975"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4572","0.939922480620155"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4507","4969","0.9058577405857741"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9786","0.9150943396226415"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2072","2580","0.904397705544933"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","6122","6590","0.9344608879492601"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4074","4588","0.9089184060721063"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16960","0.9311064718162839"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5363","0.8654618473895582"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.922920892494929"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17714","18180","0.902542372881356"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14088","14566","0.9304703476482618"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5354","0.89"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11654","12145","0.9209486166007905"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9773","0.8798449612403101"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11650","12145","0.9013539651837524"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15692","16156","0.9381663113006397"
