"channel","reference","start","end","identity"
"3","KC242784|9_Luebo|DRC|2007","8521","8977","0.8755274261603375"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12841","13341","0.9127906976744186"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10489","10967","0.9163265306122449"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16490","16965","0.8790983606557377"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4511","4970","0.7692307692307693"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1341","0.9050505050505051"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11661","12138","0.87"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1705","2163","0.9356223175965666"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5289","5770","0.9102040816326531"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8528","8993","0.9089026915113871"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4493","4970","0.9349593495934959"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1690","2157","0.8875"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","858","1327","0.9024896265560166"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12856","13334","0.8634538152610441"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","860","1347","0.8675889328063241"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9279","9785","0.9193857965451055"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8891","9368","0.9016393442622951"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9268","9785","0.800376647834275"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5294","5768","0.8861788617886179"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12145","0.9576612903225806"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4505","4970","0.9100204498977505"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16108","16578","0.9330543933054394"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13649","14144","0.892578125"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15291","15768","0.8770161290322581"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3320","3791","0.9"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8901","9368","0.9092783505154639"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1697","2155","0.8921775898520085"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12145","0.9021956087824351"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16500","16971","0.9213250517598344"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1697","2163","0.961864406779661"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6526","6992","0.9151138716356108"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","12839","13341","0.9145631067961165"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12144","0.8926441351888668"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13646","14141","0.9282868525896414"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13668","14155","0.9475806451612904"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","1702","2165","0.9322033898305084"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3703","4169","0.9416666666666667"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","17715","18176","0.9123931623931624"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5768","0.9430449069003286"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9778","0.8607350096711799"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9279","9786","0.9282945736434108"
"1","KC242798|1Ikot|Gabon|1996","434","892","0.7768421052631579"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7334","7795","0.8763326226012793"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","909","0.9243353783231084"
"1","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13679","14156","0.9131313131313131"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13670","14566","0.8933623503808488"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8515","8993","0.9300411522633745"
"1","KC242798|1Ikot|Gabon|1996","858","1346","0.7972972972972973"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4871","5355","0.8648111332007953"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10489","10956","0.8408163265306122"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5280","5770","0.9133064516129032"
"1","KM519951|Boende-Lokolia|DRC|2014","14516","14973","0.8927835051546392"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16902","17366","0.847870182555781"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13329","0.9175050301810865"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12145","0.9543650793650794"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13687","14155","0.9368421052631579"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15287","15768","0.9451219512195121"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","447","929","0.9027777777777778"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","10489","10967","0.9506172839506173"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","13670","14506","0.8101851851851852"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14084","14566","0.8869047619047619"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14973","0.9480249480249481"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11386","11726","0.9140401146131805"
"3","KR063671|Yambuku-Mayinga|DRC|1976-10-01","8894","9294","0.8192771084337349"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11654","12134","0.9134808853118712"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16499","16971","0.9461697722567288"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","18636","18921","0.8996655518394648"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5354","0.8633663366336634"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11657","12145","0.9192913385826772"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3304","3791","0.9175050301810865"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4871","5366","0.9063745019920318"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16096","16546","0.7674418604651163"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15286","15768","0.9094567404426559"
"3","KR063672|Kikwit-807223|DRC|1995-04-01","16892","17078","0.8324873096446701"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","7007","0.8254901960784313"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16500","16970","0.8004115226337448"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6539","7007","0.8512396694214877"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3289","3778","0.9698189134808853"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4893","5359","0.855072463768116"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3289","3775","0.91"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9280","9785","0.9174664107485605"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4907","5351","0.8478260869565217"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","880","1343","0.8867924528301887"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10491","10963","0.920997920997921"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10504","10967","0.8930817610062893"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4899","5359","0.8919491525423728"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5291","5770","0.9290060851926978"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11661","12156","0.9243027888446215"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1251","1753","0.9411764705882353"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","1251","2157","0.8502673796791443"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","9268","9785","0.9672447013487476"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","10554","10967","0.8224719101123595"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","5293","5772","0.9443298969072165"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","13668","14067","0.8859223300970874"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","16500","16971","0.968421052631579"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","6523","6996","0.9205020920502092"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","4872","5344","0.8909465020576132"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","11660","11911","0.8403041825095057"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","8902","9365","0.8012170385395537"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","15286","15766","0.9056224899598394"
