"channel","reference","start","end","identity"
"3","KJ660347|Makona-Gueckedou-C07|Guinea|2014-01-20","3300","3791","0.9306930693069307"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","434","928","0.9156862745098039"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","5292","5779","0.868421052631579"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","15288","15768","0.9334677419354839"
"1","KR063672|Kikwit-807223|DRC|1995-04-01","9268","9778","0.9518304431599229"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2065","2570","0.9423076923076923"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7321","7798","0.9326530612244898"
"1","KC242793|1Eko|Gabon|1996","7333","7798","0.8951781970649895"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4873","5355","0.944672131147541"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13341","0.9546351084812623"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11651","12133","0.899803536345776"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4088","4582","0.8869395711500975"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16105","16564","0.9333333333333333"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","7722","7976","0.9172932330827067"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","4088","4588","0.9299610894941635"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12864","13334","0.8430583501006036"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","458","929","0.9398340248962656"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","9268","9777","0.9089184060721063"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1349","0.8093385214007782"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14556","0.9551020408163265"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","876","1338","0.9027484143763214"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","2521","2997","0.8981670061099797"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.906187624750499"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","3703","4168","0.9245283018867925"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","16490","16971","0.9548254620123203"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","858","1349","0.938"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","12840","13327","0.9227642276422764"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","11654","12145","0.8735408560311284"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14076","14566","0.9596774193548387"
"1","KR063671|Yambuku-Mayinga|DRC|1976-10-01","14501","14973","0.9436325678496869"
